               x           y    r
     0.000000000  0.00000000  0.0
    -0.569719811  0.50054788  0.0
     0.659761367 -0.02444219  0.0
     0.100546083  0.04510004  0.0
    -0.465810810 -0.13656136  0.0
     0.890646109 -0.35010358  0.0
     0.409291947 -0.59867292  0.0
    -0.686349479  0.64564439  0.0
    -0.026531970  0.76917778  0.0
    -0.043001150  0.10112699  0.0
     0.576556011 -0.28891969  0.0
    -0.890675571 -0.15702669  0.0
    -0.457940191  0.23966747  0.0
    -0.643127143 -0.31478680  0.0
    -0.076274912 -0.50971666  0.0
     0.189828540  0.65107729  0.0
    -0.201006144  0.61983568  0.0
     0.496732064  0.42322362  0.0
     0.132026392 -0.76732626  0.0
     0.795096694  0.40827814  0.0
    -0.002509607 -0.81085524  0.0
    -0.078766235 -0.18108940  0.0
     0.600151690  0.48516167  0.0
     0.269469898  0.26059119  0.0
    -0.892946602 -0.29430194  0.0
     0.153116524 -0.44608182  0.0
     0.293940916 -0.59171451  0.0
     0.855200468 -0.39098198  0.0
     0.682035213  0.16069726  0.0
    -0.573705364 -0.29940450  0.0
